column,family,dtype,missing_count,missing_pct,unique_count,min_value,max_value
addr1,address,float32,65706,11.13,332,100.0,540.0
addr2,address,float32,65706,11.13,74,10.0,102.0
TransactionAmt,amount,float64,0,0.0,20902,0.251,31937.391
card1,card,int16,0,0.0,13553,1000.0,18396.0
card2,card,float32,8933,1.51,500,100.0,600.0
card3,card,float32,1565,0.27,114,100.0,231.0
card4,card,category,1577,0.27,4,,
card5,card,float32,4259,0.72,119,100.0,237.0
card6,card,category,1571,0.27,4,,
C1,counting_C,float32,0,0.0,1657,0.0,4685.0
C10,counting_C,float32,0,0.0,1231,0.0,3257.0
C11,counting_C,float32,0,0.0,1476,0.0,3188.0
C12,counting_C,float32,0,0.0,1199,0.0,3188.0
C13,counting_C,float32,0,0.0,1597,0.0,2918.0
C14,counting_C,float32,0,0.0,1108,0.0,1429.0
C2,counting_C,float32,0,0.0,1216,0.0,5691.0
C3,counting_C,float32,0,0.0,27,0.0,26.0
C4,counting_C,float32,0,0.0,1260,0.0,2253.0
C5,counting_C,float32,0,0.0,319,0.0,349.0
C6,counting_C,float32,0,0.0,1328,0.0,2253.0
C7,counting_C,float32,0,0.0,1103,0.0,2255.0
C8,counting_C,float32,0,0.0,1253,0.0,3331.0
C9,counting_C,float32,0,0.0,205,0.0,210.0
DeviceInfo,device,category,471874,79.91,1786,,
DeviceType,device,category,449730,76.16,2,,
dist1,distance,float32,352271,59.65,2651,0.0,10286.0
dist2,distance,float32,552913,93.63,1751,0.0,11623.0
P_emaildomain,email,category,94456,15.99,59,,
R_emaildomain,email,category,453249,76.75,60,,
has_identity,engineered,int8,0,0.0,2,0.0,1.0
TransactionID,identifier,int32,0,0.0,590540,2987000.0,3577539.0
id_01,identity_id,float32,446307,75.58,77,-100.0,0.0
id_02,identity_id,float32,449668,76.15,115655,1.0,999595.0
id_03,identity_id,float32,524216,88.77,24,-13.0,10.0
id_04,identity_id,float32,524216,88.77,15,-28.0,0.0
id_05,identity_id,float32,453675,76.82,93,-72.0,52.0
id_06,identity_id,float32,453675,76.82,101,-100.0,0.0
id_07,identity_id,float32,585385,99.13,84,-46.0,61.0
id_08,identity_id,float32,585385,99.13,94,-100.0,0.0
id_09,identity_id,float32,515614,87.31,46,-36.0,25.0
id_10,identity_id,float32,515614,87.31,62,-100.0,0.0
id_11,identity_id,float32,449562,76.13,365,90.0,100.0
id_12,identity_id,category,446307,75.58,2,,
id_13,identity_id,float32,463220,78.44,54,10.0,64.0
id_14,identity_id,float32,510496,86.45,25,-660.0,720.0
id_15,identity_id,category,449555,76.13,3,,
id_16,identity_id,category,461200,78.1,2,,
id_17,identity_id,float32,451171,76.4,104,100.0,229.0
id_18,identity_id,float32,545427,92.36,18,10.0,29.0
id_19,identity_id,float32,451222,76.41,522,100.0,671.0
id_20,identity_id,float32,451279,76.42,394,100.0,661.0
id_21,identity_id,float32,585381,99.13,490,100.0,854.0
id_22,identity_id,float32,585371,99.12,25,10.0,44.0
id_23,identity_id,category,585371,99.12,3,,
id_24,identity_id,float32,585793,99.2,12,11.0,26.0
id_25,identity_id,float32,585408,99.13,341,100.0,548.0
id_26,identity_id,float32,585377,99.13,95,100.0,216.0
id_27,identity_id,category,585371,99.12,2,,
id_28,identity_id,category,449562,76.13,2,,
id_29,identity_id,category,449562,76.13,2,,
id_30,identity_id,category,512975,86.87,75,,
id_31,identity_id,category,450258,76.25,130,,
id_32,identity_id,float32,512954,86.86,4,0.0,32.0
id_33,identity_id,category,517251,87.59,260,,
id_34,identity_id,category,512735,86.82,4,,
id_35,identity_id,category,449555,76.13,2,,
id_36,identity_id,category,449555,76.13,2,,
id_37,identity_id,category,449555,76.13,2,,
id_38,identity_id,category,449555,76.13,2,,
M1,match_M,category,271100,45.91,2,,
M2,match_M,category,271100,45.91,2,,
M3,match_M,category,271100,45.91,2,,
M4,match_M,category,281444,47.66,3,,
M5,match_M,category,350482,59.35,2,,
M6,match_M,category,169360,28.68,2,,
