n_flagged,review_rate,threshold,frauds_caught,frauds_missed,false_alarms,recall,precision,cost_missed,cost_caught,cost_false_alarm,total_cost,savings
0,0.0,inf,0.0,4064.0,0.0,0.0,0.0,711534.3359999921,0.0,0.0,711534.3359999921,0.0
59,0.0004995427913435161,0.9997803684791197,59.0,4005.0,0.0,0.014517716535433071,1.0,702249.6529999921,1164.4682999999995,0.0,703414.1212999921,8120.214700000011
118,0.0009990855826870321,0.9992041793420235,118.0,3946.0,0.0,0.029035433070866142,1.0,693992.5199999921,2226.1816,0.0,696218.7015999921,15315.63439999998
177,0.0014986283740305484,0.9983027241074541,176.0,3888.0,1.0,0.04330708661417323,0.9943502824858758,687159.2629999921,3141.5072999999993,5.0,690305.7702999922,21228.56569999992
236,0.0019981711653740642,0.9973795767515458,230.0,3834.0,6.0,0.056594488188976375,0.9745762711864406,680931.1509999922,3980.3184999999985,30.0,684941.4694999922,26592.866499999887
295,0.0024977139567175805,0.9954290224093535,280.0,3784.0,15.0,0.0688976377952756,0.9491525423728814,675019.9149999921,4771.442099999998,75.0,679866.3570999921,31667.978899999987
354,0.002997256748061097,0.9932992339868253,333.0,3731.0,21.0,0.08193897637795275,0.940677966101695,668750.3819999921,5610.395399999997,105.0,674465.7773999921,37068.55859999999
413,0.0034967995394046126,0.9904375696148533,387.0,3677.0,26.0,0.0952263779527559,0.937046004842615,663354.7239999921,6365.961199999994,130.0,669850.6851999921,41683.650799999945
472,0.0039963423307481285,0.9874687459712644,441.0,3623.0,31.0,0.10851377952755906,0.934322033898305,658181.3859999921,7099.2949999999955,155.0,665435.6809999922,46098.65499999991
531,0.004495885122091645,0.9824742560377632,498.0,3566.0,33.0,0.12253937007874016,0.9378531073446328,652622.0969999922,7883.223899999992,165.0,660670.3208999921,50864.01509999996
590,0.004995427913435161,0.9768384775824385,548.0,3516.0,42.0,0.13484251968503938,0.9288135593220339,646962.1589999922,8649.21769999999,210.0,655821.3766999922,55712.95929999987
649,0.005494970704778677,0.9701628179256173,596.0,3468.0,53.0,0.1466535433070866,0.9183359013867488,642040.0539999922,9333.428199999988,265.0,651638.4821999922,59895.853799999924
708,0.005994513496122194,0.9630158843274792,649.0,3415.0,59.0,0.15969488188976377,0.9166666666666666,634416.9249999922,10307.741099999985,295.0,645019.6660999922,66514.66989999986
767,0.006494056287465709,0.9516439581858535,703.0,3361.0,64.0,0.17298228346456693,0.9165580182529335,629648.9079999923,11000.542799999985,320.0,640969.4507999922,70564.8851999999
