column,dominant_value,dominant_share,rare_rows,rare_fraud_rate,fraud_lift,decision,reason
TransactionAmt,59.0,0.05006,448780,,,keep,not near-constant
ProductCD,W,0.73238,126431,,,keep,not near-constant
card1,7919,0.02583,460227,,,keep,not near-constant
card2,321.0,0.08201,433689,,,keep,not near-constant
card3,150.0,0.8802,56595,,,keep,not near-constant
card4,visa,0.65224,164291,,,keep,not near-constant
card5,226.0,0.50207,235237,,,keep,not near-constant
card6,debit,0.74052,122589,,,keep,not near-constant
addr1,nan,0.1138,418671,,,keep,not near-constant
addr2,87.0,0.87788,57692,,,keep,not near-constant
dist1,nan,0.60783,185275,,,keep,not near-constant
dist2,nan,0.93205,32100,,,keep,not near-constant
P_emaildomain,gmail.com,0.38671,289740,,,keep,not near-constant
R_emaildomain,nan,0.7595,113620,,,keep,not near-constant
C1,1.0,0.54473,215085,,,keep,not near-constant
C2,1.0,0.54511,214905,,,keep,not near-constant
C3,0.0,0.99604,1872,0.00053,0.015,keep,rescued: rare values linked to fraud
C4,0.0,0.75676,114914,,,keep,not near-constant
C5,0.0,0.63549,172207,,,keep,not near-constant
C6,1.0,0.58618,195501,,,keep,not near-constant
C7,0.0,0.88297,55289,,,keep,not near-constant
C8,0.0,0.74732,119375,,,keep,not near-constant
C9,1.0,0.37964,293080,,,keep,not near-constant
C10,0.0,0.7573,114659,,,keep,not near-constant
C11,1.0,0.66391,158779,,,keep,not near-constant
C12,0.0,0.84071,75256,,,keep,not near-constant
C13,1.0,0.34911,307500,,,keep,not near-constant
C14,1.0,0.5486,213257,,,keep,not near-constant
D1,0.0,0.48955,241153,,,keep,not near-constant
D2,nan,0.48952,241169,,,keep,not near-constant
D3,nan,0.46071,254780,,,keep,not near-constant
D4,nan,0.29586,332658,,,keep,not near-constant
D5,nan,0.53732,218587,,,keep,not near-constant
D6,nan,0.87621,58483,,,keep,not near-constant
D7,nan,0.93662,29944,,,keep,not near-constant
D8,nan,0.86959,61610,,,keep,not near-constant
D9,nan,0.86959,61610,,,keep,not near-constant
D10,0.0,0.38081,292527,,,keep,not near-constant
D11,nan,0.52065,226459,,,keep,not near-constant
D12,nan,0.88844,52703,,,keep,not near-constant
D13,nan,0.89634,48973,,,keep,not near-constant
D14,nan,0.89451,49836,,,keep,not near-constant
D15,0.0,0.29962,330883,,,keep,not near-constant
M1,nan,0.5044,234137,,,keep,not near-constant
M2,nan,0.5044,234137,,,keep,not near-constant
M3,nan,0.5044,234137,,,keep,not near-constant
M4,nan,0.4809,245241,,,keep,not near-constant
M5,nan,0.60012,188918,,,keep,not near-constant
M6,F,0.37889,293431,,,keep,not near-constant
M7,nan,0.63497,172452,,,keep,not near-constant
M8,nan,0.63496,172458,,,keep,not near-constant
M9,nan,0.63496,172458,,,keep,not near-constant
V1,nan,0.52065,226459,,,keep,not near-constant
V2,nan,0.52065,226459,,,keep,not near-constant
V3,nan,0.52065,226459,,,keep,not near-constant
V4,nan,0.52065,226459,,,keep,not near-constant
V5,nan,0.52065,226459,,,keep,not near-constant
V6,nan,0.52065,226459,,,keep,not near-constant
V7,nan,0.52065,226459,,,keep,not near-constant
V8,nan,0.52065,226459,,,keep,not near-constant
V9,nan,0.52065,226459,,,keep,not near-constant
V10,nan,0.52065,226459,,,keep,not near-constant
V11,nan,0.52065,226459,,,keep,not near-constant
V12,1.0,0.45432,257798,,,keep,not near-constant
V13,1.0,0.46644,252072,,,keep,not near-constant
V14,1.0,0.85896,66632,,,keep,not near-constant
V15,0.0,0.75269,116839,,,keep,not near-constant
V16,0.0,0.75264,116859,,,keep,not near-constant
V17,0.0,0.74783,119135,,,keep,not near-constant
V18,0.0,0.74776,119166,,,keep,not near-constant
V19,1.0,0.67641,152875,,,keep,not near-constant
V20,1.0,0.6702,155807,,,keep,not near-constant
V21,0.0,0.74852,118806,,,keep,not near-constant
V22,0.0,0.74845,118840,,,keep,not near-constant
V23,1.0,0.83333,78739,,,keep,not near-constant
V24,1.0,0.81635,86760,,,keep,not near-constant
V25,1.0,0.82848,81032,,,keep,not near-constant
V26,1.0,0.82481,82764,,,keep,not near-constant
V27,0.0,0.85876,66726,,,keep,not near-constant
V28,0.0,0.85876,66728,,,keep,not near-constant
V29,0.0,0.53639,219022,,,keep,not near-constant
V30,0.0,0.53422,220049,,,keep,not near-constant
V31,0.0,0.73937,123132,,,keep,not near-constant
V32,0.0,0.73932,123155,,,keep,not near-constant
V33,0.0,0.74673,119655,,,keep,not near-constant
V34,0.0,0.74218,121803,,,keep,not near-constant
V35,1.0,0.35469,304866,,,keep,not near-constant
V36,1.0,0.36357,300670,,,keep,not near-constant
V37,1.0,0.65954,160845,,,keep,not near-constant
V38,1.0,0.63833,170864,,,keep,not near-constant
V39,0.0,0.59444,191599,,,keep,not near-constant
V40,0.0,0.59414,191741,,,keep,not near-constant
V41,1.0,0.70352,140066,,,keep,not near-constant
V42,0.0,0.59521,191236,,,keep,not near-constant
V43,0.0,0.5949,191384,,,keep,not near-constant
V44,1.0,0.66376,158851,,,keep,not near-constant
V45,1.0,0.64636,167072,,,keep,not near-constant
V46,1.0,0.68792,147436,,,keep,not near-constant
V47,1.0,0.67828,151990,,,keep,not near-constant
V48,0.0,0.44433,262515,,,keep,not near-constant
V49,0.0,0.44343,262941,,,keep,not near-constant
V50,0.0,0.58438,196350,,,keep,not near-constant
V51,0.0,0.58776,194757,,,keep,not near-constant
V52,0.0,0.58461,196242,,,keep,not near-constant
V53,1.0,0.46427,253098,,,keep,not near-constant
V54,1.0,0.47804,246591,,,keep,not near-constant
V55,1.0,0.81855,85723,,,keep,not near-constant
V56,1.0,0.79175,98386,,,keep,not near-constant
V57,0.0,0.74841,118861,,,keep,not near-constant
V58,0.0,0.74802,119042,,,keep,not near-constant
V59,0.0,0.74918,118497,,,keep,not near-constant
V60,0.0,0.74869,118725,,,keep,not near-constant
V61,1.0,0.67493,153575,,,keep,not near-constant
V62,1.0,0.66597,157807,,,keep,not near-constant
V63,0.0,0.74977,118217,,,keep,not near-constant
V64,0.0,0.74924,118467,,,keep,not near-constant
V65,1.0,0.85812,67028,,,keep,not near-constant
V66,1.0,0.81903,85497,,,keep,not near-constant
V67,1.0,0.81191,88860,,,keep,not near-constant
V68,0.0,0.85798,67097,,,keep,not near-constant
V69,0.0,0.53504,219661,,,keep,not near-constant
V70,0.0,0.53293,220658,,,keep,not near-constant
V71,0.0,0.7405,122596,,,keep,not near-constant
V72,0.0,0.74011,122780,,,keep,not near-constant
V73,0.0,0.74158,122086,,,keep,not near-constant
V74,0.0,0.73664,124421,,,keep,not near-constant
V75,1.0,0.42684,270779,,,keep,not near-constant
V76,1.0,0.44158,263817,,,keep,not near-constant
V77,1.0,0.79065,98904,,,keep,not near-constant
V78,1.0,0.7645,111256,,,keep,not near-constant
V79,0.0,0.72403,130375,,,keep,not near-constant
V80,0.0,0.72113,131749,,,keep,not near-constant
V81,0.0,0.72103,131796,,,keep,not near-constant
V82,1.0,0.67037,155728,,,keep,not near-constant
V83,1.0,0.66112,160097,,,keep,not near-constant
V84,0.0,0.72199,131343,,,keep,not near-constant
V85,0.0,0.7218,131429,,,keep,not near-constant
V86,1.0,0.79484,96924,,,keep,not near-constant
V87,1.0,0.77299,107245,,,keep,not near-constant
V88,1.0,0.83466,78111,,,keep,not near-constant
V89,0.0,0.83464,78123,,,keep,not near-constant
V90,0.0,0.51152,230775,,,keep,not near-constant
V91,0.0,0.51041,231297,,,keep,not near-constant
V92,0.0,0.71008,136967,,,keep,not near-constant
V93,0.0,0.71007,136972,,,keep,not near-constant
V94,0.0,0.71847,133004,,,keep,not near-constant
V95,0.0,0.86935,61725,,,keep,not near-constant
V96,0.0,0.63526,172313,,,keep,not near-constant
V97,0.0,0.77781,104969,,,keep,not near-constant
V98,0.0,0.94822,24463,,,keep,not near-constant
V99,0.0,0.69821,142575,,,keep,not near-constant
V100,0.0,0.84877,71444,,,keep,not near-constant
V101,0.0,0.945,25983,,,keep,not near-constant
V102,0.0,0.91129,41911,,,keep,not near-constant
V103,0.0,0.9309,32647,,,keep,not near-constant
V104,0.0,0.95803,19830,,,keep,not near-constant
V105,0.0,0.93273,31779,,,keep,not near-constant
V106,0.0,0.94924,23982,,,keep,not near-constant
V107,1.0,0.9996,189,,,drop,"near-constant, only 189 rare rows"
V108,1.0,0.99517,2283,0.28033,7.979,keep,rescued: rare values linked to fraud
V109,1.0,0.98642,6416,,,keep,not near-constant
V110,1.0,0.99256,3515,0.19545,5.563,keep,rescued: rare values linked to fraud
V111,1.0,0.9971,1370,0.4635,13.192,keep,rescued: rare values linked to fraud
V112,1.0,0.99485,2431,0.29247,8.324,keep,rescued: rare values linked to fraud
V113,1.0,0.99652,1645,0.39514,11.246,keep,rescued: rare values linked to fraud
V114,1.0,0.99119,4163,0.19649,5.592,keep,rescued: rare values linked to fraud
V115,1.0,0.97192,13268,,,keep,not near-constant
V116,1.0,0.98586,6680,,,keep,not near-constant
V117,1.0,0.99878,578,0.31142,8.863,keep,rescued: rare values linked to fraud
V118,1.0,0.99825,827,0.22733,6.47,keep,rescued: rare values linked to fraud
V119,1.0,0.99865,638,0.28683,8.164,keep,rescued: rare values linked to fraud
V120,1.0,0.99839,759,0.13439,3.825,keep,rescued: rare values linked to fraud
V121,1.0,0.99589,1941,0.07264,2.068,keep,rescued: rare values linked to fraud
V122,1.0,0.99787,1006,0.10835,3.084,keep,rescued: rare values linked to fraud
V123,1.0,0.97488,11866,,,keep,not near-constant
V124,1.0,0.93036,32898,,,keep,not near-constant
V125,1.0,0.9619,18002,,,keep,not near-constant
V126,0.0,0.86935,61725,,,keep,not near-constant
V127,0.0,0.63526,172313,,,keep,not near-constant
V128,0.0,0.77781,104969,,,keep,not near-constant
V129,0.0,0.94822,24463,,,keep,not near-constant
V130,0.0,0.69821,142575,,,keep,not near-constant
V131,0.0,0.84877,71444,,,keep,not near-constant
V132,0.0,0.945,25983,,,keep,not near-constant
V133,0.0,0.91129,41911,,,keep,not near-constant
V134,0.0,0.9309,32647,,,keep,not near-constant
V135,0.0,0.95803,19830,,,keep,not near-constant
V136,0.0,0.93273,31779,,,keep,not near-constant
