feature,kind,source,missing_pct_train,missing_pct_test
TransactionAmt,base_numeric,TransactionAmt,0.0,0.0
card1,base_numeric,card1,0.0,0.0
card2,base_numeric,card2,1.51,1.71
card3,base_numeric,card3,0.27,0.59
card5,base_numeric,card5,0.72,0.9
addr1,base_numeric,addr1,11.13,12.95
addr2,base_numeric,addr2,11.13,12.95
dist1,base_numeric,dist1,59.65,57.47
dist2,base_numeric,dist2,93.63,92.81
C1,base_numeric,C1,0.0,0.0
C2,base_numeric,C2,0.0,0.0
C3,base_numeric,C3,0.0,0.0
C4,base_numeric,C4,0.0,0.0
C5,base_numeric,C5,0.0,0.0
C6,base_numeric,C6,0.0,0.0
C7,base_numeric,C7,0.0,0.0
C8,base_numeric,C8,0.0,0.0
C9,base_numeric,C9,0.0,0.0
C10,base_numeric,C10,0.0,0.0
C11,base_numeric,C11,0.0,0.0
C12,base_numeric,C12,0.0,0.0
C13,base_numeric,C13,0.0,0.94
C14,base_numeric,C14,0.0,0.0
D1,base_numeric,D1,0.21,1.19
D2,base_numeric,D2,47.55,46.33
D3,base_numeric,D3,44.51,40.09
D4,base_numeric,D4,28.6,15.17
D5,base_numeric,D5,52.47,44.28
D6,base_numeric,D6,87.61,75.37
D7,base_numeric,D7,93.41,88.13
D8,base_numeric,D8,87.31,85.33
D9,base_numeric,D9,87.31,85.33
D10,base_numeric,D10,12.87,2.48
D11,base_numeric,D11,47.29,34.84
D12,base_numeric,D12,89.04,86.33
D13,base_numeric,D13,89.51,75.65
D14,base_numeric,D14,89.47,77.27
D15,base_numeric,D15,15.09,2.38
id_01,base_numeric,id_01,75.58,71.99
id_02,base_numeric,id_02,76.15,72.97
id_03,base_numeric,id_03,88.77,86.88
id_04,base_numeric,id_04,88.77,86.88
id_05,base_numeric,id_05,76.82,73.41
id_06,base_numeric,id_06,76.82,73.41
id_07,base_numeric,id_07,99.13,99.0
id_08,base_numeric,id_08,99.13,99.0
id_09,base_numeric,id_09,87.31,85.33
id_10,base_numeric,id_10,87.31,85.33
id_11,base_numeric,id_11,76.13,73.01
id_13,base_numeric,id_13,78.44,74.29
id_14,base_numeric,id_14,86.45,85.92
id_17,base_numeric,id_17,76.4,73.17
id_18,base_numeric,id_18,92.36,89.96
id_19,base_numeric,id_19,76.41,73.18
id_20,base_numeric,id_20,76.42,73.23
id_21,base_numeric,id_21,99.13,99.0
id_22,base_numeric,id_22,99.12,99.0
id_24,base_numeric,id_24,99.2,99.06
id_25,base_numeric,id_25,99.13,99.01
id_26,base_numeric,id_26,99.13,99.0
id_32,base_numeric,id_32,86.86,86.05
has_identity,base_numeric,has_identity,0.0,0.0
V219,base_numeric,V219,77.91,74.99
V264,base_numeric,V264,77.91,74.99
V223,base_numeric,V223,77.91,74.99
V263,base_numeric,V263,77.91,74.99
V237,base_numeric,V237,77.91,74.99
V240,base_numeric,V240,77.91,74.99
V246,base_numeric,V246,77.91,74.99
V252,base_numeric,V252,77.91,74.99
V260,base_numeric,V260,77.91,74.99
V262,base_numeric,V262,77.91,74.99
V265,base_numeric,V265,77.91,74.99
V268,base_numeric,V268,77.91,74.99
V273,base_numeric,V273,77.91,74.99
V95,base_numeric,V95,0.05,0.0
