column,family,dtype,missing_count,missing_pct
id_24,identity_id,float32,585793,99.2
id_08,identity_id,float32,585385,99.13
id_21,identity_id,float32,585381,99.13
id_07,identity_id,float32,585385,99.13
id_26,identity_id,float32,585377,99.13
id_25,identity_id,float32,585408,99.13
id_22,identity_id,float32,585371,99.12
id_27,identity_id,category,585371,99.12
id_23,identity_id,category,585371,99.12
dist2,distance,float32,552913,93.63
D7,timedelta_D,float32,551623,93.41
id_18,identity_id,float32,545427,92.36
D13,timedelta_D,float32,528588,89.51
D14,timedelta_D,float32,528353,89.47
D12,timedelta_D,float32,525823,89.04
id_04,identity_id,float32,524216,88.77
id_03,identity_id,float32,524216,88.77
D6,timedelta_D,float32,517353,87.61
id_33,identity_id,category,517251,87.59
id_09,identity_id,float32,515614,87.31
id_10,identity_id,float32,515614,87.31
D9,timedelta_D,float32,515614,87.31
D8,timedelta_D,float32,515614,87.31
id_30,identity_id,category,512975,86.87
id_32,identity_id,float32,512954,86.86
id_34,identity_id,category,512735,86.82
id_14,identity_id,float32,510496,86.45
V158,vesta_V,float32,508595,86.12
V156,vesta_V,float32,508595,86.12
V159,vesta_V,float32,508589,86.12
V143,vesta_V,float32,508589,86.12
V144,vesta_V,float32,508589,86.12
V139,vesta_V,float32,508595,86.12
V140,vesta_V,float32,508595,86.12
V141,vesta_V,float32,508595,86.12
V142,vesta_V,float32,508595,86.12
V138,vesta_V,float32,508595,86.12
V145,vesta_V,float32,508589,86.12
V151,vesta_V,float32,508589,86.12
V150,vesta_V,float32,508589,86.12
V149,vesta_V,float32,508595,86.12
V148,vesta_V,float32,508595,86.12
V147,vesta_V,float32,508595,86.12
V146,vesta_V,float32,508595,86.12
V152,vesta_V,float32,508589,86.12
V162,vesta_V,float32,508595,86.12
V164,vesta_V,float32,508589,86.12
V165,vesta_V,float32,508589,86.12
V166,vesta_V,float32,508589,86.12
V163,vesta_V,float32,508595,86.12
V161,vesta_V,float32,508595,86.12
V160,vesta_V,float32,508589,86.12
V154,vesta_V,float32,508595,86.12
V155,vesta_V,float32,508595,86.12
V153,vesta_V,float32,508595,86.12
V157,vesta_V,float32,508595,86.12
V330,vesta_V,float32,508189,86.05
V339,vesta_V,float32,508189,86.05
V338,vesta_V,float32,508189,86.05
V322,vesta_V,float32,508189,86.05
V327,vesta_V,float32,508189,86.05
V328,vesta_V,float32,508189,86.05
V326,vesta_V,float32,508189,86.05
V337,vesta_V,float32,508189,86.05
V336,vesta_V,float32,508189,86.05
V335,vesta_V,float32,508189,86.05
V334,vesta_V,float32,508189,86.05
V333,vesta_V,float32,508189,86.05
V332,vesta_V,float32,508189,86.05
V325,vesta_V,float32,508189,86.05
V331,vesta_V,float32,508189,86.05
V324,vesta_V,float32,508189,86.05
V329,vesta_V,float32,508189,86.05
