block,cluster,kept_column,n_represented,represents
1,1,V219,7,"V217, V219, V228, V231, V232, V233, V257"
1,2,V264,16,"V218, V224, V225, V229, V230, V236, V243, V248, V249, V253, V254, V258, V261, V264, V267, V274"
1,3,V223,1,V223
1,4,V263,4,"V226, V263, V276, V278"
1,5,V237,2,"V235, V237"
1,6,V240,2,"V240, V241"
1,7,V246,3,"V242, V244, V246"
1,8,V252,2,"V247, V252"
1,9,V260,1,V260
1,10,V262,1,V262
1,11,V265,3,"V265, V275, V277"
1,12,V268,3,"V266, V268, V269"
1,13,V273,1,V273
2,1,V95,2,"V95, V101"
2,2,V96,4,"V96, V97, V99, V102"
2,3,V98,1,V98
2,4,V100,1,V100
2,5,V103,1,V103
2,6,V106,2,"V104, V106"
2,7,V105,1,V105
2,8,V108,2,"V108, V110"
2,9,V109,1,V109
2,10,V111,3,"V111, V112, V113"
2,11,V114,2,"V114, V116"
2,12,V115,1,V115
2,13,V117,2,"V117, V119"
2,14,V118,1,V118
2,15,V120,2,"V120, V122"
2,16,V121,1,V121
2,17,V123,2,"V123, V125"
2,18,V124,1,V124
2,19,V128,4,"V126, V128, V135, V137"
2,20,V127,2,"V127, V133"
2,21,V131,2,"V129, V131"
2,22,V130,1,V130
2,23,V134,2,"V132, V134"
2,24,V136,1,V136
3,1,V293,3,"V279, V290, V293"
3,2,V307,7,"V280, V291, V292, V294, V295, V307, V317"
3,3,V284,1,V284
3,4,V285,2,"V285, V287"
3,5,V286,1,V286
3,6,V297,1,V297
3,7,V298,1,V298
3,8,V299,1,V299
3,9,V303,3,"V302, V303, V304"
3,10,V308,2,"V306, V308"
3,11,V312,3,"V309, V311, V312"
3,12,V310,1,V310
3,13,V316,1,V316
3,14,V318,1,V318
3,15,V320,3,"V319, V320, V321"
4,1,V168,8,"V167, V168, V176, V177, V179, V186, V190, V199"
4,2,V203,10,"V172, V178, V191, V193, V196, V203, V204, V207, V212, V213"
4,3,V173,1,V173
4,4,V183,2,"V181, V183"
4,5,V215,4,"V182, V187, V192, V215"
4,6,V202,3,"V202, V214, V216"
4,7,V205,2,"V205, V206"
4,8,V211,1,V211
5,1,V13,2,"V12, V13"
5,2,V14,1,V14
5,3,V17,10,"V15, V16, V17, V18, V21, V22, V31, V32, V33, V34"
5,4,V20,2,"V19, V20"
5,5,V23,2,"V23, V24"
5,6,V26,2,"V25, V26"
5,7,V27,2,"V27, V28"
5,8,V30,2,"V29, V30"
6,1,V54,2,"V53, V54"
6,2,V56,2,"V55, V56"
6,3,V60,10,"V57, V58, V59, V60, V63, V64, V71, V72, V73, V74"
6,4,V62,2,"V61, V62"
6,5,V65,1,V65
6,6,V67,2,"V66, V67"
6,7,V68,1,V68
6,8,V70,2,"V69, V70"
7,1,V76,2,"V75, V76"
7,2,V77,2,"V77, V78"
7,3,V80,8,"V79, V80, V81, V84, V85, V92, V93, V94"
7,4,V82,2,"V82, V83"
7,5,V86,2,"V86, V87"
7,6,V88,1,V88
7,7,V89,1,V89
7,8,V91,2,"V90, V91"
8,1,V169,1,V169
8,2,V171,4,"V170, V171, V200, V201"
8,3,V175,2,"V174, V175"
8,4,V180,1,V180
8,5,V184,2,"V184, V185"
8,6,V189,2,"V188, V189"
8,7,V197,3,"V194, V195, V197"
8,8,V198,1,V198
8,9,V210,2,"V208, V210"
8,10,V209,1,V209
9,1,V36,2,"V35, V36"
9,2,V37,2,"V37, V38"
9,3,V40,6,"V39, V40, V42, V43, V50, V51"
9,4,V41,1,V41
9,5,V44,2,"V44, V45"
9,6,V47,2,"V46, V47"
9,7,V48,2,"V48, V49"
9,8,V52,1,V52
10,1,V138,1,V138
10,2,V139,2,"V139, V140"
10,3,V142,2,"V141, V142"
10,4,V146,2,"V146, V147"
10,5,V156,8,"V148, V149, V153, V154, V155, V156, V157, V158"
10,6,V162,3,"V161, V162, V163"
11,1,V324,2,"V322, V324"
11,2,V323,3,"V323, V326, V327"
11,3,V325,1,V325
11,4,V328,2,"V328, V330"
11,5,V329,1,V329
11,6,V332,6,"V331, V332, V333, V337, V338, V339"
11,7,V335,3,"V334, V335, V336"
12,1,V220,1,V220
12,2,V221,7,"V221, V222, V227, V245, V255, V256, V259"
12,3,V234,1,V234
12,4,V238,2,"V238, V239"
12,5,V250,2,"V250, V251"
12,6,V271,3,"V270, V271, V272"
13,1,V1,1,V1
13,2,V2,1,V2
13,3,V3,1,V3
13,4,V5,2,"V4, V5"
13,5,V7,2,"V6, V7"
13,6,V8,2,"V8, V9"
13,7,V10,2,"V10, V11"
14,1,V160,10,"V143, V144, V145, V150, V151, V152, V159, V160, V164, V165"
14,2,V166,1,V166
15,1,V281,1,V281
15,2,V282,1,V282
15,3,V283,1,V283
15,4,V289,2,"V288, V289"
15,5,V296,1,V296
15,6,V300,2,"V300, V301"
15,7,V314,3,"V313, V314, V315"
